datetime,last_price,volume,amount,bid_price1,bid_volume1,ask_price1,ask_volume1
02:03.0,3055,600,18287100,3054,30,3055,60
02:03.5,3055,630,19203600,3054,30,3055,30
02:04.5,3055,660,20120100,3054,30,3058,90
02:05.0,3055,660,20120100,3054,30,3058,90
02:05.5,3055,660,20120100,3054,30,3058,90
02:06.5,3058,690,21037500,3054,30,3058,60
02:07.0,3058,690,21037500,3053,30,3058,60
02:07.5,3058,690,21037500,3053,30,3058,60
02:08.5,3058,690,21037500,3054,30,3058,60
02:09.0,3058,690,21037500,3054,30,3058,60
02:10.5,3058,690,21037500,3053,30,3058,60
02:13.5,3058,690,21037500,3053,30,3058,60
02:16.0,3058,720,21954900,3053,30,3058,30
02:17.0,3058,720,21954900,3053,30,3058,30
02:17.5,3058,750,22872300,3053,30,3060,210
02:19.5,3060,780,23790300,3053,30,3060,180
02:23.5,3060,780,23790300,3053,30,3060,180
02:25.0,3060,780,23790300,3053,30,3060,210
02:26.0,3060,780,23790300,3053,30,3059,30
02:27.0,3060,780,23790300,3050,30,3059,30
02:27.5,3060,780,23790300,3051,30,3059,30
02:28.5,3060,810,24708300,3051,30,3060,210
02:29.0,3060,810,24708300,3052,60,3060,210
02:29.5,3060,810,24708300,3053,60,3060,210
02:30.0,3060,810,24708300,3053,60,3060,210
02:30.5,3060,810,24708300,3053,90,3060,210
02:31.0,3060,810,24708300,3054,60,3060,210
02:31.5,3060,870,26544300,3054,60,3060,150
02:32.0,3060,870,26544300,3055,30,3060,150
02:32.5,3060,870,26544300,3055,60,3060,150
02:33.5,3060,870,26544300,3056,30,3060,210
02:34.0,3060,870,26544300,3056,30,3060,210
02:34.5,3060,900,27462300,3056,30,3060,180
02:36.5,3060,930,28380300,3056,30,3060,150
02:37.0,3060,930,28380300,3056,30,3060,150
02:38.5,3060,930,28380300,3057,30,3060,150
02:39.0,3060,930,28380300,3057,30,3060,150
02:39.5,3060,930,28380300,3054,30,3060,150
02:40.0,3060,930,28380300,3055,30,3057,150
02:40.5,3060,930,28380300,3055,30,3057,150
02:41.5,3060,930,28380300,3056,30,3057,150
02:42.0,3060,930,28380300,3056,30,3057,150
02:43.5,3060,930,28380300,3056,30,3057,150
02:44.0,3060,930,28380300,3054,30,3057,150
02:44.5,3060,930,28380300,3054,30,3057,150
02:45.0,3060,930,28380300,3051,30,3057,150
02:45.5,3060,930,28380300,3051,30,3057,150
02:46.5,3060,930,28380300,3051,60,3057,150
02:47.0,3060,930,28380300,3052,30,3057,150
02:48.5,3060,930,28380300,3053,30,3057,150
02:50.5,3060,930,28380300,3053,30,3057,150
02:51.5,3057,960,29297400,3053,30,3057,120
02:52.0,3057,960,29297400,3053,30,3057,120
02:53.0,3057,960,29297400,3052,30,3057,120
02:53.5,3057,960,29297400,3054,30,3057,120
02:54.5,3057,960,29297400,3054,30,3057,120
02:55.0,3057,960,29297400,3054,30,3057,120
02:56.0,3057,960,29297400,3053,30,3057,120
02:57.5,3057,960,29297400,3053,30,3057,120
02:59.0,3057,960,29297400,3053,30,3057,120
03:00.0,3057,960,29297400,3053,30,3057,120
03:00.5,3057,990,30214500,3053,30,3057,90
03:01.0,3057,990,30214500,3053,30,3057,90
03:02.5,3057,990,30214500,3053,30,3057,90
03:06.0,3057,1020,31131600,3053,30,3057,60
03:06.5,3057,1020,31131600,3053,30,3055,30
03:07.0,3057,1020,31131600,3053,30,3055,30
03:07.5,3053,1050,32047500,3052,30,3053,270
03:09.0,3053,1050,32047500,3051,30,3053,270
03:13.0,3053,1050,32047500,3052,30,3053,270
03:14.5,3053,1050,32047500,3052,30,3053,270
03:17.5,3053,1080,32963400,3052,30,3053,240
03:20.0,3053,1080,32963400,3052,30,3053,240
03:20.5,3053,1080,32963400,3052,30,3053,240
03:21.0,3053,1080,32963400,3052,30,3053,240
03:22.5,3053,1080,32963400,3049,30,3053,240
03:23.0,3053,1110,33879300,3049,30,3053,210
03:25.0,3053,1110,33879300,3049,30,3053,210
03:25.5,3053,1110,33879300,3049,30,3053,210
03:28.0,3053,1110,33879300,3049,30,3053,210
03:28.5,3053,1110,33879300,3050,30,3053,210
03:29.5,3053,1110,33879300,3050,30,3053,210
03:30.0,3053,1110,33879300,3050,30,3053,210
03:31.0,3053,1110,33879300,3043,60,3053,210
03:31.5,3053,1110,33879300,3051,30,3053,210
03:32.0,3053,1110,33879300,3051,30,3053,210
03:33.0,3053,1110,33879300,3050,30,3053,210
03:34.0,3053,1110,33879300,3050,30,3053,210
03:35.5,3053,1110,33879300,3050,30,3053,210
03:36.0,3053,1110,33879300,3050,30,3053,210
03:38.5,3053,1110,33879300,3050,30,3053,210
03:41.0,3050,1140,34794300,3044,30,3053,210
03:41.5,3050,1140,34794300,3045,30,3053,210
03:42.0,3050,1140,34794300,3045,30,3053,210
03:45.0,3050,1140,34794300,3045,30,3052,30
03:47.0,3050,1140,34794300,3045,30,3052,30
03:48.0,3050,1140,34794300,3045,30,3052,30
03:49.0,3050,1140,34794300,3045,30,3052,30
03:49.5,3050,1140,34794300,3045,30,3050,30
03:51.0,3050,1140,34794300,3045,30,3050,30
03:52.0,3050,1170,35709300,3045,30,3052,30
03:53.0,3050,1170,35709300,3044,30,3052,30
03:55.5,3052,1200,36624900,3044,30,3053,210
03:56.0,3052,1200,36624900,3045,30,3053,210
03:56.5,3052,1200,36624900,3045,30,3053,210
03:57.0,3052,1200,36624900,3046,30,3053,210
03:58.5,3052,1200,36624900,3046,30,3053,210
03:59.0,3052,1200,36624900,3046,30,3055,60
04:00.0,3055,1230,37541400,3046,30,3055,30
04:01.0,3055,1230,37541400,3047,30,3055,30
04:01.5,3047,1260,38455500,3045,30,3046,180
04:02.0,3047,1260,38455500,3045,30,3046,180
04:02.5,3047,1260,38455500,3043,60,3046,180
04:03.0,3047,1290,39369600,3043,90,3046,150
04:03.5,3047,1290,39369600,3043,90,3046,150
04:04.0,3047,1290,39369600,3043,90,3046,150
04:04.5,3047,1290,39369600,3043,60,3046,150
04:05.0,3047,1290,39369600,3043,30,3046,150
04:05.5,3047,1290,39369600,3041,90,3046,150
04:06.0,3047,1290,39369600,3041,60,3046,150
04:07.0,3047,1290,39369600,3041,60,3046,150
04:07.5,3047,1290,39369600,3041,60,3046,150
04:09.0,3047,1290,39369600,3041,60,3046,150
04:09.5,3046,1320,40283400,3041,60,3046,120
04:10.0,3046,1320,40283400,3041,60,3046,120
04:10.5,3046,1320,40283400,3041,60,3046,120
04:11.0,3046,1320,40283400,3041,60,3046,120
04:11.5,3046,1320,40283400,3041,60,3046,120
04:12.0,3046,1320,40283400,3041,60,3046,120
04:12.5,3046,1320,40283400,3041,60,3046,120
04:13.5,3046,1320,40283400,3041,60,3046,120
04:14.0,3046,1320,40283400,3041,60,3046,120
04:15.5,3046,1320,40283400,3041,60,3046,120
04:16.0,3046,1440,43938600,3046,30,3049,60
04:16.5,3046,1440,43938600,3046,30,3049,60
04:17.0,3046,1440,43938600,3046,30,3049,30
04:17.5,3046,1440,43938600,3046,30,3049,30
04:18.0,3046,1440,43938600,3046,30,3050,60
04:19.0,3046,1440,43938600,3046,30,3050,60
04:19.5,3046,1440,43938600,3046,30,3050,60
